ID,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS20223,2467,1646,6679,3208,1774,9143,11403,13423,3037,11577,9205,7141,6291,13825,1771,3891,5062,2828,4252,2332,9390,3502,13044,12050,3415,17889,24329,14679,12261,11050,1105,3033,1152,7203,2453,2655,5692,3491,1679,11189,15313,11321,2976,11423,8600,7257,6505,12560,1777,3926,3487,3308,4522,2502,7919,3954,13300,12032,2637,18104,23044,16840,11128,10758,1360,2963,888,6837
DMHDS0903,2292,1401,7579,2992,1747,11092,11531,11585,2618,11261,9009,7419,7182,10122,2443,3691,4948,2804,4186,2204,9685,3100,14659,11289,2354,16476,25647,17408,13796,11258,1202,2850,1198,7445,2014,2057,5108,3520,1837,10561,16862,10087,2326,11793,9300,7230,7038,11610,1538,3974,3834,3722,4478,2167,8734,3619,14903,12072,1795,17030,25179,17012,10589,11360,1389,2669,907,7604
DMHDS0918,2494,2334,5364,3869,2406,11929,14758,11942,3091,14747,8217,7699,6157,12408,1890,3670,4480,2881,3890,2911,10460,4127,14740,13546,3250,16421,25575,14443,13090,10375,833,2502,995,7618,2139,1456,4712,3258,1622,8209,15134,9524,2598,10393,7264,6944,5077,11786,1435,4226,3723,2983,3715,2452,7947,3763,12728,11140,2517,16045,21788,14504,11370,10170,1230,2070,1060,7037
DMHDS21181,1965,1786,4480,2408,2267,8906,11308,9152,2435,10140,6930,4778,5941,9196,1919,3196,4362,2676,3704,1421,7740,2804,11260,10111,2128,13588,20911,12789,12978,9634,979,3011,1099,7125,2041,1908,4966,2958,1784,8701,14150,10776,2410,9635,7049,5812,6638,9444,1735,3681,4254,2570,4281,1722,7763,3545,11879,10443,1812,14405,18088,12283,10260,8956,1200,2955,1034,7569
DMHDS21222,1927,1540,6406,2648,1765,8144,10990,11651,2248,10541,7571,5320,6357,11188,1829,3823,4869,2326,4117,1780,9604,3380,11420,9974,2655,14785,23859,15702,11932,11399,1137,2295,1199,6618,2225,1273,5619,3460,1777,8870,11891,10111,2926,9486,7093,5846,6392,12061,1709,4019,4838,2326,4144,2269,8225,3266,10445,10528,1594,15252,24163,13164,11695,11117,1432,2428,799,6943
DMHDS20349,2834,1685,5570,2442,2717,10271,12003,13061,2820,7643,7560,5804,6704,10934,2663,3217,4718,2510,3439,1666,9249,3676,11137,9181,2593,15986,21635,11513,12794,13453,1066,3120,834,7220,2592,2160,6629,2760,1901,10140,13169,12580,2291,7244,7155,5619,5746,12260,2008,3723,6169,2792,4549,2047,7340,3233,9002,9077,2583,20093,24813,8233,12265,7706,1313,3299,712,6763
DMHDS0299,2578,2374,4570,2780,1644,9675,13174,12117,2526,10660,8902,6852,5846,13776,2206,3489,5677,3140,5284,1540,11204,3849,13065,12027,2699,20508,27329,14141,13839,11148,1024,3056,1098,8796,2099,1839,5411,2897,1351,9754,16515,9718,2358,11319,9382,6462,6659,14118,1834,3815,5153,3239,6280,1693,9610,4003,13203,11712,1879,18494,25600,16327,14037,12182,1152,2694,1111,7988
DMHDS0482,2517,1998,5215,2907,1980,9513,14433,9762,2589,12268,7094,6983,6000,11674,2094,3879,4241,2516,3887,2321,8589,3680,11941,9097,2446,16798,22131,13684,12485,10536,1259,2261,1063,6378,2761,2021,6867,3027,1734,9573,14955,11328,2930,12548,6824,7621,5576,12453,1910,3709,3673,2465,3548,2550,10071,3424,13523,9435,2952,19372,20989,12194,13229,9223,1443,2174,861,7168
DMHDS20399,2281,1513,5368,3021,1841,9193,11264,8887,2148,11737,7885,4886,5784,10909,1624,3153,4677,2213,3843,1810,8330,3137,12141,8808,2550,13490,21034,13806,12177,9901,977,2449,1199,6718,2226,1347,3936,2999,1095,7269,12489,7899,1535,9642,7514,4101,6089,10104,1286,3129,3883,2510,3884,2010,7960,2865,10470,8969,1511,13874,18320,12233,10137,9915,1046,2151,991,5894
DMHDS0226,2263,1687,6277,2730,1378,8547,10761,9357,2198,11242,6705,5208,5410,9200,1753,3089,4990,2584,3274,1634,9525,3298,13116,10662,2785,15423,20205,14329,12219,9765,1102,2328,1379,6574,2249,2007,6213,3668,1704,10006,12747,8232,2175,10370,6823,5976,6457,10590,1620,3586,3646,2879,3960,2334,8782,2839,12630,11004,2071,14959,20404,14943,11728,9426,1316,2424,926,6457
