ID,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS0620,0.020,0.019,0.020,0.034,0.022,0.028,0.022,0.031,0.030,0.033,0.037,0.032,0.037,0.030,0.030,0.020,0.020,0.039,0.027,0.037,0.023,0.019,0.021,0.027,0.041,0.036,0.025,0.021,0.021,0.028,0.072,0.030,0.018,0.036,0.018,0.026,0.020,0.035,0.026,0.029,0.021,0.031,0.036,0.031,0.046,0.029,0.037,0.028,0.021,0.019,0.022,0.043,0.030,0.037,0.025,0.027,0.027,0.027,0.027,0.035,0.027,0.023,0.018,0.029,0.061,0.038,0.023,0.041
DMHDS0492,0.016,0.016,0.020,0.026,0.023,0.029,0.021,0.025,0.027,0.029,0.034,0.028,0.025,0.022,0.015,0.019,0.031,0.023,0.026,0.030,0.018,0.025,0.022,0.019,0.026,0.027,0.022,0.018,0.019,0.027,0.036,0.039,0.028,0.034,0.018,0.018,0.020,0.026,0.021,0.027,0.021,0.026,0.032,0.023,0.029,0.032,0.025,0.021,0.023,0.015,0.021,0.030,0.022,0.029,0.018,0.025,0.019,0.022,0.030,0.026,0.023,0.018,0.017,0.021,0.035,0.033,0.038,0.031
DMHDS0636,0.019,0.014,0.020,0.027,0.028,0.027,0.023,0.023,0.026,0.029,0.034,0.033,0.024,0.029,0.012,0.017,0.020,0.039,0.021,0.033,0.018,0.027,0.021,0.022,0.019,0.030,0.026,0.023,0.020,0.024,0.048,0.049,0.023,0.034,0.016,0.020,0.023,0.030,0.017,0.031,0.020,0.023,0.031,0.030,0.045,0.034,0.027,0.023,0.013,0.015,0.020,0.031,0.023,0.035,0.021,0.021,0.019,0.026,0.030,0.034,0.025,0.023,0.019,0.024,0.034,0.043,0.022,0.032
DMHDS0683,0.023,0.017,0.021,0.030,0.022,0.025,0.023,0.031,0.030,0.028,0.038,0.036,0.029,0.023,0.021,0.017,0.022,0.031,0.023,0.028,0.021,0.025,0.019,0.026,0.031,0.033,0.022,0.023,0.022,0.025,0.046,0.041,0.030,0.043,0.015,0.016,0.024,0.030,0.019,0.029,0.022,0.029,0.030,0.028,0.040,0.036,0.033,0.021,0.016,0.017,0.023,0.024,0.022,0.026,0.021,0.032,0.021,0.027,0.025,0.031,0.025,0.020,0.016,0.024,0.056,0.038,0.021,0.045
DMHDS0664,0.017,0.007,0.021,0.028,0.021,0.028,0.025,0.028,0.025,0.028,0.031,0.024,0.026,0.027,0.014,0.019,0.023,0.021,0.024,0.034,0.023,0.022,0.018,0.023,0.017,0.028,0.023,0.021,0.018,0.023,0.040,0.025,0.019,0.026,0.016,0.020,0.017,0.035,0.023,0.026,0.024,0.023,0.033,0.027,0.029,0.035,0.026,0.024,0.016,0.021,0.022,0.017,0.024,0.030,0.020,0.027,0.018,0.023,0.020,0.028,0.025,0.024,0.018,0.025,0.048,0.035,0.023,0.026
DMHDS0681,0.014,0.016,0.022,0.036,0.043,0.026,0.020,0.023,0.027,0.028,0.048,0.036,0.027,0.023,0.013,0.015,0.024,0.035,0.030,0.029,0.019,0.032,0.022,0.031,0.027,0.034,0.028,0.024,0.019,0.022,0.042,0.040,0.038,0.035,0.018,0.017,0.025,0.033,0.061,0.024,0.024,0.027,0.030,0.030,0.043,0.039,0.027,0.023,0.015,0.021,0.044,0.036,0.028,0.030,0.018,0.024,0.021,0.027,0.023,0.033,0.025,0.024,0.016,0.027,0.055,0.032,0.025,0.028
DMHDS0668,0.018,0.029,0.022,0.038,0.023,0.029,0.024,0.028,0.029,0.033,0.033,0.031,0.026,0.024,0.013,0.015,0.017,0.030,0.019,0.037,0.019,0.033,0.022,0.027,0.039,0.030,0.028,0.024,0.018,0.024,0.039,0.063,0.027,0.036,0.014,0.015,0.022,0.028,0.030,0.029,0.025,0.030,0.031,0.028,0.034,0.034,0.033,0.029,0.016,0.026,0.016,0.032,0.022,0.028,0.019,0.034,0.018,0.025,0.018,0.031,0.023,0.022,0.022,0.028,0.036,0.038,0.024,0.026
DMHDS0718,0.016,0.016,0.018,0.033,0.029,0.033,0.022,0.027,0.036,0.028,0.043,0.039,0.026,0.029,0.026,0.013,0.023,0.030,0.025,0.030,0.022,0.028,0.021,0.023,0.024,0.029,0.025,0.023,0.018,0.026,0.042,0.038,0.025,0.034,0.018,0.016,0.021,0.035,0.038,0.027,0.023,0.033,0.033,0.026,0.047,0.037,0.022,0.025,0.024,0.019,0.020,0.037,0.021,0.036,0.022,0.027,0.020,0.022,0.023,0.029,0.023,0.025,0.017,0.022,0.040,0.035,0.038,0.028
DMHDS0479,0.015,0.012,0.022,0.031,0.041,0.029,0.024,0.029,0.031,0.028,0.036,0.031,0.020,0.028,0.019,0.019,0.024,0.029,0.026,0.031,0.020,0.029,0.019,0.027,0.022,0.028,0.024,0.021,0.015,0.023,0.047,0.030,0.019,0.028,0.017,0.016,0.020,0.030,0.016,0.025,0.025,0.029,0.031,0.028,0.033,0.040,0.022,0.021,0.017,0.021,0.022,0.027,0.027,0.032,0.018,0.028,0.020,0.028,0.026,0.031,0.025,0.021,0.019,0.021,0.054,0.036,0.024,0.024
DMHDS0720,0.012,0.017,0.020,0.037,0.027,0.028,0.027,0.036,0.023,0.030,0.036,0.030,0.034,0.032,0.015,0.016,0.026,0.030,0.033,0.032,0.020,0.029,0.020,0.025,0.026,0.030,0.024,0.026,0.024,0.028,0.046,0.046,0.020,0.041,0.025,0.024,0.020,0.037,0.034,0.028,0.033,0.027,0.031,0.034,0.043,0.031,0.030,0.027,0.013,0.021,0.023,0.023,0.028,0.031,0.019,0.023,0.022,0.029,0.022,0.027,0.024,0.025,0.020,0.026,0.039,0.049,0.025,0.029
