ID,BA1_exvivo_left,BA2_exvivo_left,BA3a_exvivo_left,BA3b_exvivo_left,BA4a_exvivo_left,BA4p_exvivo_left,BA6_exvivo_left,BA44_exvivo_left,BA45_exvivo_left,V1_exvivo_left,V2_exvivo_left,MT_exvivo_left,perirhinal_exvivo_left,entorhinal_exvivo_left,BA1_exvivo_right,BA2_exvivo_right,BA3a_exvivo_right,BA3b_exvivo_right,BA4a_exvivo_right,BA4p_exvivo_right,BA6_exvivo_right,BA44_exvivo_right,BA45_exvivo_right,V1_exvivo_right,V2_exvivo_right,MT_exvivo_right,perirhinal_exvivo_right,entorhinal_exvivo_right
DMHDS1113,394,921,686,970,1102,809,3747,856,898,2723,3010,342,166,238,330,967,712,1092,560,775,3460,662,757,2682,3113,181,241,201
DMHDS1109,567,1198,658,1247,947,707,3622,931,753,2950,3072,414,198,221,368,890,802,1154,576,779,4143,597,676,3062,3284,224,258,151
DMHDS1042,412,922,642,985,1073,781,3491,1174,880,2706,3008,336,208,249,359,1234,722,1071,606,817,3854,689,777,2942,3372,178,205,139
DMHDS1101,482,1457,614,937,1061,772,3235,1023,807,2577,3068,378,168,218,358,1086,617,969,458,656,2907,629,671,2687,3173,220,196,156
DMHDS1091,320,826,507,774,684,550,2273,906,656,1938,2055,272,178,192,249,931,549,856,423,574,2366,575,499,1978,2294,153,201,170
DMHDS0818,380,958,567,844,1022,711,3172,991,713,1697,2031,297,210,226,350,1076,600,910,574,692,3181,783,821,1845,2249,193,198,147
DMHDS1118,355,852,555,862,862,618,3015,936,667,2355,2695,362,177,237,331,1010,615,918,568,639,2730,559,699,2113,2680,221,266,187
DMHDS1135,424,1151,635,979,973,708,3175,1027,882,2866,3000,315,191,291,363,1025,695,1052,592,754,3151,637,866,3323,3384,206,229,171
DMHDS0975,380,1049,588,901,905,678,2693,848,620,2630,2753,332,204,330,307,1063,638,899,488,665,2650,597,618,2631,3011,198,277,235
DMHDS1017,408,1116,512,863,861,595,3002,935,1047,2761,3110,405,239,336,376,1354,659,1033,590,701,3585,706,703,2467,3188,256,236,172
DMHDS1122,379,880,668,1072,820,712,3151,892,751,2304,3005,303,189,203,288,1070,656,1044,467,673,2808,624,608,1854,2515,240,226,152
DMHDS1138,374,1089,514,863,807,624,2430,704,666,2134,2501,438,164,199,287,1243,553,827,445,555,2403,482,658,2539,2772,197,210,169
DMHDS1150,407,1128,660,1047,1055,798,3557,1250,776,2516,3047,413,227,319,372,1315,593,1051,572,639,3160,700,727,2803,3408,201,245,210
DMHDS1043,225,525,379,555,689,455,2480,987,933,2651,2842,260,213,275,221,852,560,843,468,547,2524,415,456,2647,2815,226,239,193
DMHDS1137,438,1073,588,947,856,675,3091,955,744,2939,3004,342,211,283,370,1211,618,956,462,661,2719,622,823,2895,3275,214,212,175
DMHDS1174,395,963,652,954,1024,675,2866,982,907,2521,2733,349,183,205,350,1097,713,1091,557,666,3006,584,715,2459,2916,221,207,161
DMHDS1134,261,707,546,765,752,572,2678,965,767,2278,2499,347,167,191,261,867,507,759,442,575,2549,495,591,2238,2719,210,177,155
DMHDS1055,358,1003,579,890,814,648,2616,943,831,2563,2701,412,227,332,363,1278,646,1006,531,696,2958,623,692,2289,2727,274,256,203
