ID,unknown_left,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,unknown_right,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS0572,0.0000,8.1082,9.2856,-22.3181,3.5602,-4.9760,-0.7074,1.4933,-9.0100,-2.0832,-10.3649,-30.6999,-10.8083,-11.4725,3.3690,-9.1972,-2.4049,1.1078,-8.9112,-6.9703,-0.6736,2.5204,3.9771,-4.5841,-1.7052,-38.6462,-15.9889,-4.0767,-3.1549,4.3062,2.0350,-9.1359,-27.2378,3.9712,-34.6137,0.0000,8.2506,9.9040,6.2512,2.6722,-21.5218,-14.3823,3.3811,-9.1469,2.8919,-0.9299,-12.1963,-29.6555,-36.6027,-7.4315,5.2629,0.6525,5.6370,2.5131,5.0736,-12.4872,0.5535,6.0491,-1.6433,-7.9855,-2.0369,-37.5337,-7.5373,1.2347,-8.0022,0.2439,-22.6345,2.2176,2.0149,-38.9874
DMHDS0577,0.0000,10.2377,0.0000,7.5493,0.8777,0.0000,4.6250,2.9248,-5.5399,-5.5242,-1.4304,-12.1895,-4.3517,-16.7674,-3.7294,-0.5663,1.5847,2.8709,6.7839,6.2059,-0.6707,-1.8457,6.3111,-4.0069,1.5204,-57.7399,4.3674,-1.9718,-2.9240,3.7217,-18.8983,10.0316,-33.6300,3.0777,-10.0587,0.0000,10.2534,10.2509,7.7183,-1.4164,7.1983,-18.0522,-1.8993,-3.8860,0.0566,-1.0232,-62.3951,-4.2376,-10.8405,5.1764,6.0334,0.1407,7.2858,-0.5376,2.6253,0.1120,-0.2347,6.6536,-2.2195,2.5719,-9.7819,-0.8295,3.1814,-0.9046,-8.8779,4.8082,7.8136,-6.0310,5.3665,-0.1493
DMHDS0424,0.0000,3.1466,9.6987,8.1300,4.1908,5.7846,-1.4611,4.3694,-16.6159,-4.6309,-4.6440,-22.2251,-0.9536,-8.0195,-5.4955,-2.5275,-3.6469,2.7595,9.0273,8.3660,2.7863,-3.7003,7.6871,-3.2712,3.8508,-22.3407,-0.4885,-2.4583,4.3714,0.0878,6.7309,8.9354,-9.6252,3.9905,-26.0058,0.0000,10.6581,6.9233,-2.0884,2.3031,3.5259,-3.1615,4.9598,-12.8393,6.4332,-14.0754,-14.3799,-4.3120,-28.7133,-56.4835,3.6319,4.1683,0.9182,-2.3692,1.3836,-16.9806,-10.5129,9.4278,-1.3183,-0.0092,7.4431,-0.0279,1.3207,-21.5826,-0.7742,-1.7048,-1.6775,2.2776,4.2127,1.1309
DMHDS0560,0.0000,2.5861,7.2884,-0.2297,-2.6536,3.1090,-4.7782,5.1643,-19.5793,-0.1528,-1.5553,-15.8321,-22.3492,-21.5946,-5.1625,1.4192,1.9769,-3.7550,-0.3914,1.3414,2.6074,-3.1651,2.0635,-2.2338,2.5326,5.7194,-8.7566,-5.5083,-35.0770,-21.4984,0.7767,5.5216,-27.3349,3.3978,-8.9782,0.0000,6.0016,8.5479,-0.7916,1.1412,2.0141,-6.6702,-24.8623,-30.5969,-3.6059,-6.9226,-7.4612,-12.8916,-51.4074,-1.2312,-14.2839,1.5698,-0.8212,0.9110,-1.7516,1.5258,-1.6114,5.9503,-7.6458,0.7408,4.8879,-5.3895,-3.2058,-2.0889,-3.7266,1.5346,7.0826,-1.8508,5.0698,-9.1882
DMHDS0582,0.0000,9.1608,10.4244,7.0592,1.9403,-19.7881,-2.5676,-13.1683,-24.0391,1.1986,-14.5876,-21.7619,-1.7549,1.1032,-2.2370,-13.9146,3.3012,6.0218,8.3926,6.7786,-0.8827,-5.9729,6.5710,-1.9870,-16.7040,-5.3188,3.3849,-10.7707,-4.4594,-3.0225,6.1078,6.4519,-4.9453,0.8972,-17.7928,0.0000,8.9665,10.8369,7.6904,-1.4387,-1.8259,-5.7630,1.0823,-8.5456,-7.8552,-14.0566,-23.9077,-0.9018,-15.2911,4.3260,-0.7668,0.0427,4.6219,3.2659,4.5565,-5.7374,-0.1266,6.8192,-0.6426,1.9693,8.9869,-14.1469,-6.6017,1.6334,-1.2582,-11.4671,3.3233,3.3012,3.3693,-4.1261
DMHDS0487,0.0000,7.1110,11.1910,0.1234,-0.8520,3.1062,-6.5856,-5.7260,-0.6342,-3.6166,-4.9498,0.6321,0.5734,-45.5601,5.3325,-7.7925,0.6484,7.0495,4.9114,4.4446,3.0094,1.1084,8.6960,-4.2140,6.2043,-39.5244,2.2274,1.2547,-3.5330,-0.8864,6.1253,6.0052,-18.0586,0.5204,-19.7570,0.0000,7.1743,-16.1696,3.8462,1.7755,6.6996,-7.4200,-9.8741,0.6239,1.4902,-2.1998,-9.0087,-1.5686,-17.4102,6.6575,7.1110,0.1089,6.6632,2.4399,3.8542,-4.3189,3.1237,-0.1126,-1.0554,1.6787,3.6230,5.0206,4.5169,2.8689,4.7725,-6.6382,8.7845,1.7157,5.7698,-8.9090
DMHDS0598,0.0000,1.9673,11.3670,-1.0806,1.2464,-0.5190,5.3999,0.0709,-9.4325,3.7892,-5.5662,-0.4264,-0.4653,-9.5342,3.7461,5.8765,1.9502,4.1993,3.4830,4.8915,-30.6577,-2.2360,7.5905,-0.3353,2.8266,5.0415,-4.9395,1.9716,-8.9644,0.2247,3.3107,7.0755,7.8836,4.1332,-8.1005,0.0000,9.2745,9.9127,6.1872,-0.8366,-4.4051,-3.3665,3.6586,-1.1437,3.6727,-6.0275,1.4844,-1.9390,-68.8779,3.1291,1.1582,1.7195,0.6057,8.5638,5.6511,-4.5976,-0.7358,9.4479,1.0458,-1.0023,1.6953,-4.1209,-4.7752,-0.4351,-2.3093,-3.1124,6.9845,-9.4539,-3.1746,-20.0658
DMHDS0556,0.0000,8.6838,13.3758,3.9656,-2.5991,0.9995,-14.5880,3.5778,-17.2535,0.4367,-1.0466,-6.4441,-3.4460,-38.4423,4.8050,-5.7926,-3.2011,-0.0830,4.7341,5.9307,-7.0689,-1.4873,4.3372,-9.5993,3.7427,1.5836,0.6606,-2.0580,-4.1137,4.4170,1.5215,-3.1767,5.0112,4.4283,-7.1635,0.0000,8.8299,12.6372,6.0008,-0.0573,1.7748,-6.4392,4.3336,-13.7976,3.9348,-0.9822,-0.7267,-27.6725,-5.4328,5.5870,4.6303,-0.4850,5.8975,2.7100,8.9895,-2.9987,-0.7441,6.1100,-1.4470,-8.5580,5.6458,-7.9873,0.7611,2.6646,3.4158,-8.5929,-0.9765,8.9053,0.3219,-18.9896
DMHDS0567,0.0000,6.4364,11.2932,5.0552,0.2538,0.2045,-5.7170,0.4182,-9.6332,-6.5469,-5.9348,-13.8458,-10.6817,-18.8887,-1.9113,-6.5676,-0.9289,2.5033,3.8799,2.9037,-36.8133,-2.2211,-8.7480,0.3858,-25.9067,-24.9657,-12.0573,-0.6496,-0.6963,5.1853,0.3671,5.1305,2.8766,-1.2915,-3.1795,0.0000,4.9852,11.9785,-8.0801,-2.0869,2.4069,-2.2191,-3.4266,-16.7279,2.0184,-6.1131,-21.2581,-31.9278,-55.1779,3.8443,2.6641,-1.3907,3.9711,6.7210,7.8591,-13.9280,-1.9836,-5.3062,-11.5240,0.6242,9.1835,-11.8049,3.2209,-0.9086,6.7391,3.4932,4.6492,4.4099,-2.8393,-4.7737
DMHDS0603,0.0000,14.5999,14.7539,6.8277,-0.8978,5.5291,1.5628,7.1420,-18.4813,6.0467,-3.0979,-6.1270,-6.2561,-32.0762,0.5458,8.5369,5.7111,4.2460,3.2801,2.9214,-4.5265,1.7363,8.4490,1.3555,0.9562,-25.6416,0.6657,4.4153,-2.7415,6.3632,8.4999,8.0756,3.1551,3.9835,-1.4581,0.0000,7.7233,6.5076,9.0593,1.5688,6.6214,-7.5797,6.2367,-7.0908,6.2388,-0.9423,-34.7967,-0.5987,-8.2659,-3.2820,6.6883,6.6679,6.3742,10.4322,9.6344,-0.1524,0.7986,6.9810,3.1889,2.2880,-68.9927,4.7579,6.1169,3.9522,5.2163,6.9503,7.5922,7.6763,2.4244,0.3994
DMHDS0528,0.0000,8.7059,9.1039,6.0375,2.9700,4.2306,5.3782,0.6642,-6.6993,3.2046,-2.3116,-21.5409,-0.7065,-53.0549,8.5136,5.0994,0.7358,8.2367,5.4429,-1.1689,-4.4140,-7.7667,4.3917,-2.4195,0.0620,0.8584,1.2662,-0.1149,0.6788,5.8567,4.7412,6.3994,2.0735,1.8109,-4.5100,0.0000,8.9268,9.3242,3.0485,-0.6374,2.8491,1.9918,2.2193,-6.9227,2.5004,-2.1996,-15.7888,-1.3336,-56.9187,5.0271,1.2469,-1.3808,1.1322,3.9654,4.4590,-1.6233,-7.7274,5.0577,-2.0236,-6.3368,5.6806,-3.2228,1.6764,-0.2787,4.2807,5.3267,5.1497,3.8639,5.5931,-4.9404
DMHDS0542,0.0000,10.5794,11.2024,0.5784,-0.7151,-4.5793,-11.2214,4.4588,-5.5214,-10.3800,-20.2191,-4.2602,-12.1207,-48.1469,-13.7772,-4.3193,-2.5471,-4.6410,-21.8538,0.4429,-2.4237,-0.5409,6.9620,-3.4311,5.0281,-55.9459,-0.7851,3.6486,-7.3078,2.0135,4.4761,1.8862,0.8912,2.8659,-55.8595,0.0000,7.0781,6.8808,-2.9678,1.1261,3.9167,-23.5495,0.9571,-12.6235,3.0079,-6.6537,-26.3527,-14.3634,-62.7878,1.1323,-12.5653,0.3137,-0.0461,-0.4159,4.8599,0.2059,-0.2621,6.3113,-1.8903,0.7163,-4.1793,-5.8108,-10.7707,1.0433,-4.7282,4.0782,7.9589,3.6462,2.7510,-2.6356
DMHDS0491,0.0000,3.6388,9.1597,-0.7208,-5.2767,-15.1875,-0.5088,2.2569,-3.3139,4.0509,-14.8379,-16.7970,-2.9654,-18.9109,1.7771,8.4395,1.5823,7.2528,-15.5663,4.4979,-1.8236,-3.7918,2.3329,-2.2553,4.2367,-20.2629,-1.8258,-1.8835,1.3873,3.7472,4.5162,4.5196,-10.2279,3.4036,-4.5177,0.0000,8.1169,-13.5057,-0.5072,-3.0380,-5.7285,-4.5102,-34.6849,-12.3609,3.0741,-5.4565,-8.9841,-15.2672,-19.6049,-2.1282,2.3783,0.7892,7.0309,-10.0996,1.9908,-7.1436,-6.4880,6.4484,-1.2237,3.3265,6.8078,-3.3825,-2.2285,-14.0776,-2.3909,-1.7676,4.8555,4.0247,3.2221,-2.1806
