ID,unknown_left,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,unknown_right,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS0915,9038,2478,1189,3574,2709,946,5840,8140,6730,1434,9714,4862,5543,3517,5931,1441,2027,2857,1261,2235,2598,7770,1749,9864,6043,1813,8910,12793,9667,7297,7797,398,785,861,3870,8683,1664,1118,3738,2679,792,6218,10219,5717,1229,11301,4923,5343,3427,6212,1338,2949,2577,1549,2794,2575,7107,2106,8741,5822,1234,9580,12433,10156,7350,7037,430,846,837,3883
DMHDS0297,7979,1697,851,3102,2436,673,4912,7305,6237,1371,9817,4451,4538,2667,6118,1153,2267,2326,1085,1944,2332,6515,1919,7760,5592,1250,7523,11412,8067,6195,6078,400,608,659,4414,7523,1597,884,2577,2581,745,4505,8396,5219,1540,9106,3709,5466,2976,5907,863,2500,1831,1430,2315,2736,6733,1835,6887,6134,948,9141,11239,8090,5937,5967,553,639,566,4219
DMHDS0630,8094,1378,961,3475,2916,766,5301,7630,5574,1691,9091,3959,4628,3137,4336,1156,2153,2464,1187,2338,2244,6007,1817,7712,6239,1761,8842,11012,9228,6413,5220,411,836,1010,3663,8190,1431,1289,3107,3370,783,5640,9361,5931,1251,9712,4030,4533,3270,5505,1239,2477,2495,1436,2638,2729,6295,1727,8917,6548,1010,8873,11040,8063,5658,5353,543,797,706,3350
DMHDS0406,8339,1528,1168,3599,2734,548,5850,7271,5675,1443,7559,4580,4034,3198,6104,1182,2175,2308,1301,1903,1927,7834,1671,8979,6515,1389,9627,11777,9159,6962,7609,441,661,1030,3661,8133,1471,1035,3620,2618,754,5466,8029,5660,1408,8490,4319,4234,2946,5661,1092,2675,2183,1357,2596,2158,6848,1980,8324,6389,1181,9383,11560,9065,6959,6850,460,575,798,3461
DMHDS0868,8563,1657,1082,2951,1922,824,5569,6844,6588,1505,7137,3723,4370,3209,4690,1111,2483,2035,964,1502,1490,6489,1995,6958,5892,1255,9077,10077,8645,5324,6402,378,590,633,3335,8583,1346,852,3044,1947,784,4546,9107,5689,1497,7161,3456,4597,3046,5687,1049,2088,2065,1155,1637,1716,6447,1638,7637,6513,726,8592,10396,8827,5167,6090,445,580,487,3329
DMHDS0957,8452,1165,965,3129,2371,759,5385,7195,5314,1432,8980,4232,4321,3472,5320,945,1968,2543,1185,1965,1716,6059,1816,7635,6266,1199,8497,10293,8737,5959,6034,417,726,1026,3792,8595,1190,1080,2968,2478,533,4690,8702,5311,1403,8827,4439,5490,3064,5340,971,2662,1818,1137,2192,2520,6316,1520,8449,6292,960,8299,10106,8705,5540,5207,491,643,568,3369
DMHDS0873,8363,1953,710,3304,2989,812,5380,8263,4628,1536,10397,4410,5072,2750,4689,1097,2144,2331,1220,2051,1975,6567,1604,8097,6679,1446,9507,12238,9657,6383,7194,377,782,741,4254,8694,1185,1094,3444,2676,537,5211,10113,4861,1697,10831,4294,5352,3314,5710,911,2503,1900,1276,1935,2255,6401,1564,8379,7052,930,8520,10511,9237,6651,5515,498,712,727,3672
DMHDS0587,8211,1733,975,4135,2565,835,5199,6802,5279,1717,8494,3915,4385,3070,4826,907,2377,2992,1135,2304,2182,7136,1937,7823,6678,1670,10489,11437,9428,6768,6254,464,695,864,3277,8108,1258,770,3879,2676,688,4561,9058,5484,1270,8462,3974,5265,3128,5186,860,2560,2376,1298,2471,2355,6511,1859,8543,6374,815,10057,12003,9527,5700,5951,456,731,696,3687
DMHDS0468,8282,1644,1142,3042,3265,634,4398,7142,5141,1883,10008,4526,5443,3114,4904,922,2489,2569,1337,2499,3008,6199,2045,7689,5771,1124,9799,10829,8406,7213,6203,394,654,888,3831,8033,1424,1043,3516,3159,726,4566,8906,5294,1392,10222,4953,5932,2938,5151,932,2630,1965,1576,2368,3290,5717,1814,7636,6340,831,8886,10489,9389,6411,5664,485,813,477,3372
DMHDS0805,8885,1496,843,3803,2920,898,5291,8097,5649,1640,9473,4039,4594,2562,5456,1137,1985,2412,1205,2367,2523,6380,1958,8269,5828,1367,10012,11766,8981,6901,7273,385,722,953,4083,8061,1483,1115,3396,3664,655,5257,8049,6290,1347,10049,3930,6097,3248,6175,1180,2381,1719,1541,1945,3396,6580,2157,7643,5636,797,9494,11139,8286,6026,6019,444,652,658,4002
DMHDS0978,7388,1465,1183,3711,3119,678,4372,6878,5086,1638,8594,4296,5390,3102,4419,862,2129,2576,1001,2073,2317,6669,1850,8470,6117,1335,7730,10296,9677,6182,7555,422,678,835,4045,8343,1468,880,2917,2757,567,4535,8206,4848,1535,8280,4184,5659,3073,5014,957,2450,1941,1439,2517,2504,6754,1504,8173,6475,854,8373,10008,9656,6107,6357,492,584,705,3647
DMHDS0715,7918,1149,739,2863,2222,482,4322,5766,4855,1365,8027,3785,4252,2269,4193,958,1906,2380,883,1731,1709,6453,1489,7539,4703,1072,6384,8044,7352,5755,5200,359,601,799,3381,7129,1050,663,2695,2311,746,4478,6496,4434,1258,8317,3815,4646,2680,4575,991,1828,1722,1126,1861,2280,6515,1449,7286,5212,589,6454,8359,7078,5387,4943,402,593,513,3176
DMHDS0713,8941,1588,1414,3849,3296,881,5169,6875,5464,1776,9932,4860,5032,3574,5729,1070,2511,2341,1272,2227,2724,7517,2239,8403,5392,1337,10632,12249,10035,6787,4912,460,601,752,3004,8554,1226,1543,3071,3187,675,4665,7268,5535,1429,9423,5006,5410,3096,5813,863,2648,1927,1404,2449,2802,6982,2042,8262,6022,1181,9532,12304,9360,5974,5783,510,687,526,3027
DMHDS0511,7444,1379,924,3024,2532,765,4422,5984,4665,1455,8126,3927,4897,2029,4677,953,2199,2086,971,1646,2368,6235,1591,7083,4688,1118,7352,9810,7900,5438,5205,299,558,583,3152,7284,1301,857,2994,2804,634,4246,7889,4291,1288,7770,4008,4646,2726,5335,919,2500,1810,1128,1927,2542,6311,1553,8016,5471,866,6886,9495,8050,5477,5333,386,489,513,2764
DMHDS0677,8578,1520,1073,3907,2207,665,4971,6206,5328,1623,8418,4401,5609,2937,4842,986,2405,2507,1001,1991,2325,6313,1819,7847,5760,1485,9045,11558,8284,5877,5690,394,732,773,3446,8775,997,1251,3753,2314,550,5260,7251,5059,1514,7895,4416,5208,3101,4970,967,2848,2388,1251,2293,2220,6836,1869,8283,6186,1117,8183,11340,9155,5622,5883,392,724,628,3560
DMHDS1088,6677,1352,929,2952,2593,625,3922,5588,4937,1170,7490,3432,5133,2920,4123,953,1692,2249,974,1774,1884,5667,1323,6575,4868,1264,7222,9229,8735,5415,5717,332,535,799,2856,7744,1119,898,2580,2590,670,4233,8082,3920,1131,8561,3515,4657,3044,4403,872,1857,1769,1066,1821,2014,5800,1439,6976,5205,767,7259,8994,7639,4900,5165,512,485,571,2935
DMHDS1020,7131,1417,982,3253,1817,442,4159,4596,3650,1348,6375,3647,4477,2577,4048,1119,2088,2424,936,2054,1645,5327,1436,6604,4486,1079,7507,10389,7022,5249,5080,378,588,737,3242,7425,977,793,3394,1950,443,3739,5362,3596,1120,7568,3451,4747,2161,4193,1115,2520,1649,1157,2082,1720,5720,1448,7586,4609,716,7978,10416,6627,4619,4047,499,579,584,3109
DMHDS0606,8303,1377,805,2561,2113,569,4551,5915,4892,1547,7935,3837,3763,2489,4574,1120,2139,2729,1048,1854,1516,5555,1632,6420,5081,1037,7840,9920,7139,5559,5391,357,719,712,3242,7850,1291,1034,2936,2029,608,4275,6752,4814,1437,8715,3381,4152,2325,5309,1038,2223,2272,1109,2119,1839,5850,1782,6809,5069,694,8427,9073,7039,5567,5877,501,711,601,2988
