ID,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,transversetemporal_left,insula_left,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,transversetemporal_right,insula_right
DMHDS1024,1.1,3.2,4.4,1.1,6.8,10.6,8.2,1.7,9.7,10.2,8.0,4.1,8.8,1.7,1.9,2.6,1.6,2.5,3.1,8.2,1.8,9.0,9.3,2.2,9.5,15.3,9.4,9.0,7.6,0.6,5.2,0.6,4.2,4.7,2.8,4.3,10.3,8.9,2.4,10.1,11.5,8.6,3.3,7.1,2.4,1.9,2.1,2.3,2.1,3.3,7.5,2.4,7.2,7.8,1.6,8.0,16.1,8.0,9.5,6.4,0.4,3.1
DMHDS0923,0.8,2.7,3.6,0.6,4.2,7.3,5.1,1.6,8.3,4.6,5.6,3.5,5.7,0.5,1.7,2.1,1.1,1.8,2.9,4.6,2.0,5.2,6.0,1.1,6.4,9.6,5.6,4.7,3.4,1.0,2.6,0.9,2.0,4.4,0.4,3.0,7.9,6.3,1.9,8.1,5.3,5.6,1.5,5.3,1.7,1.6,1.9,0.8,1.4,3.2,5.8,1.5,5.2,6.3,0.8,6.8,10.4,5.9,5.8,5.2,0.7,2.5
DMHDS0809,0.9,3.0,4.1,0.5,4.6,7.6,6.3,1.6,9.1,6.8,6.6,3.4,6.0,1.7,2.1,2.0,1.2,1.9,2.2,5.9,1.8,6.1,7.2,1.7,5.6,12.7,6.9,5.9,4.9,0.8,5.0,0.6,2.6,3.8,0.6,5.9,8.7,4.4,1.2,9.3,7.8,6.9,2.2,5.4,0.8,1.9,2.1,1.4,2.4,2.7,5.6,1.8,6.5,7.3,0.5,7.0,15.1,6.2,5.7,5.9,0.4,3.3
DMHDS0949,1.3,3.0,3.9,0.6,6.6,5.4,7.4,1.0,10.5,5.3,7.3,4.3,5.6,0.4,1.7,1.5,0.7,1.7,2.5,5.4,1.7,5.0,5.4,2.2,7.1,9.4,5.1,6.2,4.8,0.7,2.1,1.0,2.9,3.7,1.1,6.0,6.7,7.3,1.1,11.2,5.2,7.3,2.3,5.0,0.5,1.8,1.3,0.8,2.4,2.5,4.6,1.7,4.8,5.4,0.8,8.3,12.0,5.3,4.3,5.1,0.6,2.3
DMHDS1029,1.2,3.5,6.8,0.6,4.6,8.7,6.7,1.3,12.8,5.5,6.2,2.8,6.4,1.6,2.1,2.5,1.0,2.8,3.0,7.4,1.3,7.1,6.7,2.0,7.6,13.4,8.4,9.2,6.0,0.6,3.3,0.6,3.6,4.7,0.5,6.3,11.2,8.7,1.5,14.2,6.1,7.8,2.5,8.2,0.7,1.5,2.0,1.1,3.0,4.1,6.5,1.7,7.7,7.4,2.6,8.6,13.7,9.0,8.0,6.5,0.5,4.7
DMHDS1028,0.7,3.1,4.6,0.4,3.2,7.7,6.8,1.6,12.5,9.2,8.3,3.3,7.8,0.4,1.5,1.7,1.2,2.3,4.2,7.2,1.6,6.6,6.1,0.9,6.7,10.7,4.6,6.3,5.7,0.6,2.6,1.0,2.0,3.8,0.6,3.4,8.9,6.8,1.6,11.0,5.8,9.2,3.1,6.1,0.6,1.9,1.4,0.9,1.7,4.2,6.5,1.3,6.9,7.0,1.0,6.9,12.3,7.3,5.9,7.0,0.5,1.9
DMHDS1019,0.6,2.6,3.6,0.4,4.1,6.3,6.7,1.0,8.1,4.8,6.3,2.1,5.7,0.5,1.7,1.7,1.1,1.7,3.0,5.7,1.1,5.8,6.2,1.6,5.3,10.0,7.1,5.9,5.4,0.6,2.8,0.5,2.4,3.4,0.3,3.7,7.2,7.1,0.9,9.3,5.1,6.0,2.6,5.6,0.8,1.5,1.8,0.7,1.3,2.2,5.5,1.7,6.3,6.2,0.8,5.9,11.9,6.5,5.2,5.4,0.8,3.5
DMHDS1051,1.3,2.6,2.9,0.6,5.3,5.7,8.0,1.9,14.9,6.7,9.7,2.8,7.9,1.2,2.3,2.9,1.2,4.2,3.8,6.9,1.9,9.1,4.8,3.0,8.4,14.2,4.2,5.9,4.2,0.8,3.2,1.2,2.3,2.7,0.6,6.0,5.3,5.4,3.8,6.9,6.3,5.1,2.6,6.5,0.8,2.4,3.0,1.3,4.1,2.3,8.1,2.3,6.6,10.7,0.8,8.5,15.9,11.6,6.7,4.5,0.3,3.6
DMHDS1046,0.9,2.6,2.8,0.4,3.4,4.8,4.8,1.2,7.8,5.7,5.0,2.7,6.9,0.5,1.7,2.1,0.9,2.5,1.8,5.9,1.4,6.1,4.9,1.3,5.0,11.5,4.4,5.6,3.8,1.2,2.3,0.8,2.6,3.0,0.5,3.0,5.9,6.4,1.2,6.7,4.3,5.4,1.6,4.4,1.0,1.5,2.0,1.1,1.7,1.8,5.1,1.4,5.1,5.1,0.8,4.7,11.1,5.3,4.6,4.1,0.3,2.5
DMHDS1040,1.9,2.8,3.7,1.6,4.8,8.1,5.7,1.3,13.0,6.7,4.9,1.9,6.9,1.0,2.1,2.8,1.2,2.2,2.3,7.4,2.6,6.8,7.3,2.2,6.7,12.5,5.7,8.0,7.4,0.6,2.3,0.7,2.4,3.3,0.6,6.1,10.1,6.5,1.4,11.3,7.5,5.2,2.6,5.6,1.0,2.4,2.5,1.2,3.0,2.0,6.9,2.1,6.7,7.8,1.3,7.2,13.7,9.1,6.6,6.2,0.4,4.5
