ID,BA1_exvivo_left,BA2_exvivo_left,BA3a_exvivo_left,BA3b_exvivo_left,BA4a_exvivo_left,BA4p_exvivo_left,BA6_exvivo_left,BA44_exvivo_left,BA45_exvivo_left,V1_exvivo_left,V2_exvivo_left,MT_exvivo_left,perirhinal_exvivo_left,entorhinal_exvivo_left,BA1_exvivo_right,BA2_exvivo_right,BA3a_exvivo_right,BA3b_exvivo_right,BA4a_exvivo_right,BA4p_exvivo_right,BA6_exvivo_right,BA44_exvivo_right,BA45_exvivo_right,V1_exvivo_right,V2_exvivo_right,MT_exvivo_right,perirhinal_exvivo_right,entorhinal_exvivo_right
DMHDS1088,0.025,0.012,0.030,0.019,0.016,0.016,0.021,0.030,0.024,0.033,0.032,0.015,0.035,0.035,0.020,0.014,0.023,0.014,0.020,0.014,0.021,0.024,0.026,0.034,0.036,0.022,0.043,0.016
DMHDS1020,0.027,0.012,0.028,0.012,0.017,0.021,0.018,0.025,0.026,0.031,0.037,0.021,0.018,0.030,0.026,0.019,0.042,0.012,0.016,0.020,0.022,0.023,0.025,0.031,0.036,0.026,0.013,0.022
DMHDS0606,0.034,0.018,0.028,0.015,0.016,0.014,0.021,0.029,0.033,0.031,0.034,0.029,0.050,0.027,0.031,0.018,0.025,0.015,0.018,0.011,0.024,0.024,0.027,0.031,0.041,0.021,0.013,0.060
DMHDS1148,0.034,0.014,0.039,0.011,0.013,0.014,0.019,0.020,0.028,0.033,0.034,0.015,0.067,0.024,0.025,0.011,0.023,0.012,0.026,0.011,0.023,0.025,0.024,0.027,0.040,0.023,0.015,0.067
DMHDS1187,0.036,0.020,0.033,0.016,0.017,0.021,0.023,0.033,0.035,0.034,0.042,0.027,0.058,0.014,0.022,0.013,0.027,0.016,0.016,0.015,0.023,0.025,0.031,0.027,0.037,0.029,0.016,0.050
DMHDS0899,0.031,0.021,0.028,0.015,0.011,0.017,0.020,0.022,0.026,0.028,0.039,0.026,0.007,0.020,0.022,0.015,0.023,0.012,0.016,0.012,0.018,0.020,0.029,0.032,0.041,0.027,0.017,0.025
DMHDS0682,0.036,0.021,0.023,0.015,0.017,0.014,0.025,0.025,0.032,0.030,0.038,0.028,0.018,0.035,0.031,0.026,0.021,0.015,0.028,0.017,0.023,0.031,0.029,0.026,0.039,0.032,0.022,0.031
DMHDS1002,0.026,0.020,0.032,0.020,0.017,0.016,0.021,0.023,0.028,0.033,0.035,0.027,0.057,0.034,0.034,0.014,0.029,0.018,0.031,0.018,0.019,0.020,0.023,0.033,0.038,0.020,0.016,0.022
DMHDS1014,0.031,0.020,0.029,0.018,0.015,0.019,0.028,0.024,0.028,0.028,0.033,0.024,0.017,0.017,0.021,0.021,0.026,0.017,0.023,0.018,0.022,0.024,0.023,0.025,0.033,0.031,0.029,0.022
DMHDS0935,0.032,0.016,0.030,0.016,0.023,0.017,0.021,0.018,0.026,0.037,0.039,0.025,0.006,0.015,0.019,0.025,0.032,0.017,0.023,0.015,0.022,0.026,0.031,0.026,0.041,0.025,0.010,0.016
DMHDS1156,0.035,0.017,0.028,0.017,0.024,0.018,0.025,0.023,0.030,0.024,0.032,0.023,0.012,0.040,0.026,0.018,0.029,0.014,0.032,0.019,0.025,0.023,0.032,0.026,0.034,0.031,0.014,0.018
DMHDS0610,0.023,0.013,0.024,0.015,0.023,0.019,0.022,0.029,0.035,0.036,0.036,0.024,0.009,0.040,0.024,0.018,0.021,0.015,0.025,0.012,0.021,0.025,0.030,0.028,0.038,0.025,0.016,0.034
DMHDS1030,0.038,0.013,0.023,0.012,0.013,0.010,0.020,0.020,0.028,0.029,0.034,0.023,0.014,0.016,0.021,0.013,0.037,0.011,0.023,0.016,0.022,0.032,0.029,0.026,0.034,0.028,0.012,0.019
DMHDS0756,0.033,0.018,0.033,0.022,0.035,0.032,0.031,0.025,0.030,0.032,0.042,0.030,0.080,0.057,0.038,0.023,0.036,0.020,0.032,0.024,0.027,0.023,0.026,0.036,0.040,0.030,0.031,0.050
DMHDS1160,0.034,0.018,0.034,0.015,0.017,0.017,0.023,0.027,0.029,0.033,0.039,0.031,0.034,0.017,0.030,0.016,0.024,0.015,0.023,0.014,0.022,0.023,0.030,0.027,0.038,0.030,0.014,0.021
DMHDS0688,0.033,0.018,0.034,0.015,0.013,0.014,0.018,0.025,0.031,0.037,0.034,0.017,0.046,0.024,0.019,0.015,0.024,0.018,0.019,0.013,0.020,0.029,0.027,0.032,0.034,0.018,0.067,0.025
DMHDS0519,0.022,0.017,0.022,0.018,0.017,0.018,0.018,0.024,0.025,0.026,0.035,0.028,0.012,0.030,0.027,0.015,0.023,0.012,0.020,0.012,0.017,0.026,0.027,0.027,0.033,0.028,0.017,0.029
DMHDS0534,0.034,0.016,0.031,0.021,0.023,0.022,0.025,0.025,0.026,0.023,0.038,0.030,0.020,0.027,0.036,0.021,0.032,0.023,0.028,0.023,0.030,0.025,0.035,0.032,0.036,0.016,0.027,0.022
DMHDS0692,0.025,0.023,0.031,0.014,0.013,0.018,0.018,0.019,0.023,0.021,0.034,0.017,0.026,0.011,0.021,0.012,0.027,0.011,0.015,0.012,0.017,0.018,0.028,0.031,0.038,0.036,0.017,0.032
DMHDS0403,0.044,0.036,0.044,0.029,0.033,0.029,0.037,0.040,0.030,0.034,0.045,0.030,0.040,0.041,0.031,0.037,0.033,0.029,0.050,0.028,0.036,0.029,0.033,0.040,0.049,0.037,0.030,0.051
DMHDS0438,0.020,0.011,0.035,0.013,0.020,0.016,0.018,0.016,0.024,0.028,0.035,0.025,0.014,0.025,0.019,0.019,0.028,0.019,0.020,0.020,0.024,0.022,0.028,0.030,0.036,0.032,0.020,0.027
DMHDS0408,0.034,0.019,0.030,0.015,0.013,0.014,0.021,0.028,0.030,0.026,0.035,0.016,0.054,0.074,0.025,0.015,0.026,0.015,0.017,0.016,0.021,0.027,0.023,0.025,0.032,0.027,0.035,0.020
DMHDS0463,0.030,0.020,0.029,0.014,0.017,0.013,0.029,0.025,0.034,0.031,0.036,0.023,0.066,0.035,0.025,0.021,0.028,0.016,0.050,0.014,0.033,0.025,0.034,0.028,0.037,0.031,0.016,0.017
DMHDS0327,0.026,0.014,0.025,0.014,0.013,0.015,0.019,0.023,0.020,0.034,0.030,0.021,0.013,0.014,0.023,0.012,0.025,0.016,0.019,0.013,0.018,0.024,0.026,0.029,0.042,0.023,0.006,0.014
DMHDS0474,0.028,0.013,0.025,0.012,0.014,0.013,0.019,0.028,0.021,0.027,0.034,0.024,0.009,0.017,0.032,0.011,0.026,0.018,0.025,0.018,0.020,0.023,0.035,0.029,0.033,0.021,0.017,0.021
DMHDS1111,0.029,0.017,0.028,0.015,0.016,0.015,0.017,0.024,0.026,0.024,0.033,0.029,0.011,0.025,0.023,0.014,0.026,0.013,0.018,0.015,0.021,0.026,0.031,0.032,0.034,0.032,0.011,0.014
DMHDS0763,0.020,0.016,0.029,0.016,0.015,0.027,0.020,0.024,0.028,0.028,0.036,0.022,0.011,0.038,0.023,0.018,0.027,0.019,0.017,0.016,0.020,0.025,0.024,0.026,0.033,0.016,0.014,0.019
DMHDS0302,0.025,0.012,0.022,0.015,0.014,0.014,0.018,0.023,0.027,0.029,0.037,0.027,0.018,0.024,0.028,0.010,0.020,0.013,0.016,0.014,0.018,0.022,0.027,0.031,0.038,0.029,0.015,0.018
DMHDS1200,0.022,0.015,0.037,0.015,0.018,0.020,0.019,0.023,0.025,0.024,0.032,0.016,0.010,0.026,0.026,0.013,0.031,0.012,0.027,0.016,0.019,0.020,0.026,0.024,0.028,0.016,0.077,0.038
DMHDS1159,0.023,0.013,0.031,0.014,0.014,0.019,0.018,0.019,0.025,0.031,0.036,0.017,0.065,0.019,0.020,0.013,0.023,0.012,0.018,0.014,0.021,0.021,0.035,0.034,0.038,0.022,0.073,0.017
DMHDS0388,0.030,0.016,0.035,0.018,0.015,0.020,0.024,0.034,0.035,0.037,0.037,0.039,0.013,0.010,0.033,0.017,0.026,0.013,0.021,0.016,0.019,0.028,0.031,0.033,0.032,0.017,0.015,0.020
DMHDS0993,0.028,0.016,0.027,0.017,0.016,0.014,0.019,0.033,0.032,0.029,0.035,0.028,0.011,0.043,0.026,0.015,0.027,0.017,0.019,0.014,0.017,0.033,0.024,0.031,0.034,0.022,0.036,0.021
DMHDS0209,0.031,0.021,0.029,0.014,0.014,0.019,0.022,0.029,0.033,0.039,0.041,0.021,0.019,0.034,0.021,0.017,0.027,0.016,0.022,0.023,0.024,0.022,0.029,0.034,0.045,0.030,0.041,0.048
DMHDS1132,0.026,0.018,0.033,0.016,0.018,0.020,0.020,0.025,0.025,0.027,0.033,0.026,0.009,0.012,0.031,0.019,0.030,0.015,0.020,0.015,0.020,0.025,0.030,0.032,0.033,0.031,0.057,0.019
DMHDS0383,0.031,0.011,0.024,0.013,0.014,0.011,0.021,0.019,0.019,0.030,0.034,0.024,0.010,0.013,0.022,0.015,0.020,0.012,0.022,0.013,0.016,0.020,0.019,0.036,0.032,0.025,0.017,0.024
DMHDS0483,0.024,0.018,0.029,0.014,0.015,0.015,0.019,0.029,0.022,0.026,0.035,0.018,0.012,0.029,0.020,0.016,0.024,0.013,0.019,0.019,0.024,0.026,0.032,0.027,0.035,0.026,0.015,0.014
DMHDS0982,0.020,0.015,0.026,0.016,0.012,0.012,0.019,0.021,0.025,0.030,0.034,0.027,0.015,0.040,0.030,0.016,0.032,0.014,0.019,0.013,0.020,0.021,0.024,0.025,0.034,0.017,0.019,0.045
DMHDS1087,0.031,0.012,0.020,0.014,0.018,0.013,0.022,0.023,0.022,0.031,0.036,0.023,0.020,0.030,0.025,0.015,0.027,0.013,0.024,0.014,0.020,0.025,0.031,0.027,0.033,0.035,0.017,0.031
DMHDS1077,0.034,0.016,0.029,0.012,0.014,0.014,0.020,0.024,0.022,0.033,0.036,0.029,0.008,0.017,0.018,0.013,0.029,0.014,0.016,0.014,0.018,0.045,0.031,0.030,0.037,0.019,0.022,0.027
DMHDS0618,0.034,0.013,0.025,0.019,0.015,0.014,0.024,0.025,0.023,0.031,0.035,0.024,0.011,0.017,0.024,0.016,0.024,0.013,0.020,0.016,0.021,0.018,0.031,0.025,0.038,0.025,0.019,0.015
DMHDS1167,0.030,0.017,0.025,0.017,0.016,0.017,0.021,0.028,0.029,0.030,0.035,0.020,0.008,0.015,0.026,0.013,0.023,0.017,0.015,0.009,0.018,0.023,0.024,0.027,0.036,0.020,0.011,0.018
DMHDS0517,0.045,0.023,0.035,0.018,0.019,0.029,0.023,0.025,0.027,0.033,0.035,0.027,0.015,0.030,0.022,0.015,0.036,0.015,0.027,0.023,0.026,0.025,0.026,0.036,0.039,0.027,0.019,0.035
DMHDS0981,0.032,0.016,0.029,0.012,0.016,0.015,0.027,0.025,0.027,0.033,0.038,0.023,0.019,0.038,0.033,0.016,0.028,0.016,0.015,0.015,0.020,0.021,0.033,0.030,0.041,0.036,0.024,0.025
DMHDS0877,0.025,0.017,0.037,0.015,0.020,0.019,0.019,0.025,0.028,0.025,0.034,0.026,0.009,0.029,0.025,0.022,0.028,0.016,0.024,0.014,0.019,0.031,0.030,0.027,0.035,0.028,0.013,0.018
DMHDS1008,0.030,0.019,0.036,0.015,0.013,0.015,0.019,0.021,0.026,0.024,0.033,0.020,0.023,0.017,0.024,0.022,0.026,0.014,0.015,0.014,0.018,0.023,0.023,0.027,0.031,0.024,0.021,0.016
DMHDS0806,0.022,0.015,0.028,0.022,0.015,0.022,0.019,0.019,0.026,0.032,0.035,0.020,0.056,0.020,0.019,0.017,0.026,0.014,0.017,0.014,0.018,0.024,0.031,0.026,0.036,0.015,0.011,0.022
DMHDS1236,0.030,0.016,0.037,0.017,0.020,0.027,0.023,0.019,0.024,0.030,0.038,0.024,0.013,0.015,0.025,0.015,0.031,0.012,0.028,0.017,0.021,0.029,0.026,0.035,0.039,0.021,0.016,0.017
DMHDS0222,0.024,0.018,0.028,0.018,0.012,0.013,0.027,0.020,0.021,0.030,0.033,0.012,0.067,0.013,0.022,0.018,0.022,0.014,0.015,0.011,0.017,0.024,0.020,0.027,0.033,0.025,0.057,0.016
DMHDS0920,0.024,0.015,0.026,0.016,0.013,0.013,0.021,0.018,0.030,0.026,0.036,0.019,0.010,0.022,0.022,0.019,0.020,0.014,0.031,0.011,0.019,0.044,0.038,0.024,0.035,0.029,0.013,0.018
DMHDS0522,0.025,0.014,0.023,0.014,0.017,0.019,0.023,0.021,0.024,0.030,0.036,0.018,0.021,0.026,0.027,0.018,0.029,0.012,0.018,0.016,0.019,0.026,0.025,0.024,0.035,0.026,0.055,0.014
DMHDS0977,0.028,0.019,0.032,0.020,0.010,0.017,0.021,0.025,0.027,0.035,0.035,0.025,0.031,0.012,0.025,0.015,0.023,0.015,0.016,0.015,0.023,0.025,0.033,0.024,0.040,0.024,0.031,0.029
DMHDS0450,0.024,0.022,0.032,0.017,0.018,0.015,0.021,0.031,0.026,0.030,0.040,0.022,0.037,0.021,0.025,0.016,0.028,0.017,0.021,0.022,0.019,0.020,0.032,0.024,0.035,0.030,0.010,0.021
DMHDS0611,0.046,0.022,0.037,0.026,0.023,0.026,0.023,0.024,0.023,0.028,0.035,0.032,0.025,0.028,0.030,0.014,0.026,0.016,0.021,0.020,0.028,0.019,0.020,0.029,0.036,0.032,0.017,0.019
DMHDS0827,0.021,0.016,0.031,0.016,0.017,0.015,0.020,0.021,0.023,0.034,0.037,0.021,0.009,0.017,0.024,0.018,0.022,0.015,0.018,0.015,0.019,0.021,0.026,0.028,0.038,0.037,0.017,0.021
DMHDS1062,0.021,0.013,0.022,0.012,0.019,0.017,0.019,0.026,0.028,0.034,0.034,0.014,0.013,0.020,0.022,0.013,0.024,0.011,0.024,0.011,0.022,0.020,0.022,0.032,0.043,0.025,0.012,0.015
DMHDS0504,0.033,0.019,0.024,0.014,0.015,0.016,0.019,0.019,0.022,0.030,0.035,0.015,0.013,0.050,0.022,0.012,0.026,0.016,0.031,0.014,0.021,0.018,0.031,0.029,0.040,0.024,0.024,0.024
DMHDS1177,0.022,0.017,0.036,0.017,0.017,0.024,0.017,0.018,0.022,0.035,0.039,0.018,0.019,0.033,0.026,0.012,0.035,0.013,0.016,0.020,0.021,0.023,0.026,0.032,0.034,0.016,0.015,0.019
DMHDS0531,0.027,0.011,0.021,0.009,0.015,0.015,0.021,0.018,0.026,0.029,0.028,0.024,0.015,0.020,0.022,0.016,0.030,0.013,0.022,0.014,0.023,0.024,0.026,0.034,0.035,0.022,0.010,0.018
DMHDS0928,0.025,0.019,0.030,0.016,0.020,0.017,0.020,0.024,0.035,0.028,0.029,0.027,0.022,0.046,0.022,0.018,0.027,0.017,0.027,0.016,0.021,0.022,0.027,0.031,0.038,0.032,0.017,0.028
DMHDS2000,0.024,0.025,0.032,0.014,0.021,0.016,0.022,0.025,0.030,0.029,0.037,0.036,0.016,0.041,0.022,0.015,0.026,0.017,0.022,0.017,0.020,0.020,0.027,0.032,0.033,0.024,0.016,0.013
DMHDS0220,0.024,0.021,0.027,0.018,0.014,0.015,0.021,0.017,0.027,0.029,0.030,0.020,0.006,0.015,0.023,0.014,0.027,0.015,0.018,0.013,0.018,0.020,0.027,0.024,0.033,0.015,0.012,0.012
DMHDS0712,0.025,0.019,0.040,0.014,0.024,0.024,0.029,0.024,0.022,0.025,0.038,0.018,0.013,0.019,0.018,0.020,0.034,0.017,0.027,0.016,0.023,0.022,0.027,0.031,0.035,0.018,0.016,0.010
DMHDS0861,0.026,0.020,0.031,0.016,0.016,0.022,0.018,0.022,0.028,0.031,0.038,0.024,0.010,0.031,0.028,0.016,0.028,0.010,0.019,0.014,0.020,0.015,0.024,0.032,0.036,0.051,0.013,0.019
DMHDS0663,0.024,0.013,0.031,0.013,0.015,0.020,0.018,0.020,0.029,0.027,0.031,0.016,0.011,0.010,0.023,0.011,0.023,0.012,0.021,0.021,0.018,0.017,0.023,0.029,0.033,0.028,0.016,0.071
DMHDS0878,0.027,0.015,0.027,0.021,0.016,0.022,0.022,0.022,0.028,0.026,0.035,0.029,0.016,0.015,0.028,0.020,0.028,0.018,0.015,0.014,0.017,0.021,0.029,0.027,0.034,0.029,0.018,0.014
DMHDS0459,0.030,0.019,0.036,0.012,0.017,0.022,0.021,0.027,0.028,0.033,0.038,0.024,0.066,0.022,0.024,0.022,0.028,0.013,0.025,0.021,0.026,0.023,0.026,0.033,0.040,0.016,0.048,0.022
DMHDS0660,0.033,0.017,0.030,0.020,0.028,0.022,0.026,0.025,0.032,0.032,0.034,0.021,0.038,0.023,0.032,0.019,0.028,0.018,0.025,0.014,0.025,0.021,0.029,0.034,0.039,0.029,0.026,0.022
DMHDS0843,0.030,0.015,0.033,0.015,0.023,0.019,0.024,0.024,0.027,0.024,0.032,0.028,0.009,0.016,0.038,0.023,0.025,0.017,0.022,0.012,0.023,0.023,0.027,0.030,0.036,0.026,0.015,0.016
DMHDS0472,0.031,0.018,0.035,0.017,0.011,0.021,0.017,0.023,0.019,0.025,0.038,0.021,0.010,0.050,0.026,0.016,0.027,0.015,0.012,0.019,0.017,0.026,0.028,0.026,0.033,0.023,0.020,0.019
DMHDS0554,0.024,0.020,0.030,0.015,0.015,0.022,0.018,0.019,0.019,0.029,0.029,0.025,0.009,0.018,0.023,0.016,0.027,0.014,0.019,0.014,0.020,0.024,0.031,0.027,0.030,0.024,0.021,0.030
DMHDS0421,0.031,0.012,0.032,0.013,0.013,0.016,0.019,0.026,0.038,0.031,0.041,0.019,0.016,0.019,0.027,0.014,0.026,0.013,0.017,0.011,0.018,0.029,0.022,0.029,0.040,0.031,0.016,0.020
DMHDS0807,0.025,0.017,0.030,0.014,0.011,0.014,0.019,0.019,0.027,0.031,0.034,0.018,0.011,0.028,0.021,0.015,0.026,0.012,0.018,0.010,0.017,0.020,0.027,0.028,0.035,0.025,0.015,0.028
DMHDS0555,0.025,0.024,0.030,0.018,0.025,0.022,0.022,0.026,0.027,0.031,0.038,0.027,0.012,0.014,0.027,0.025,0.030,0.015,0.022,0.026,0.020,0.029,0.027,0.032,0.041,0.052,0.022,0.017
DMHDS0670,0.035,0.024,0.032,0.017,0.025,0.020,0.024,0.027,0.026,0.034,0.033,0.030,0.067,0.036,0.027,0.018,0.026,0.017,0.026,0.014,0.025,0.024,0.025,0.034,0.035,0.015,0.037,0.032
DMHDS0773,0.039,0.030,0.034,0.028,0.022,0.022,0.027,0.052,0.042,0.046,0.046,0.035,0.032,0.028,0.030,0.022,0.042,0.015,0.022,0.016,0.027,0.034,0.096,0.044,0.044,0.058,0.021,0.015
DMHDS0303,0.028,0.024,0.031,0.015,0.027,0.021,0.027,0.030,0.040,0.028,0.032,0.030,0.021,0.034,0.026,0.027,0.030,0.017,0.025,0.016,0.024,0.018,0.031,0.034,0.038,0.040,0.022,0.018
DMHDS0449,0.029,0.020,0.037,0.023,0.020,0.021,0.024,0.025,0.037,0.031,0.040,0.025,0.052,0.036,0.025,0.018,0.033,0.020,0.024,0.023,0.021,0.032,0.030,0.028,0.038,0.029,0.050,0.026
DMHDS0762,0.033,0.011,0.030,0.012,0.016,0.017,0.020,0.017,0.024,0.027,0.035,0.016,0.010,0.008,0.025,0.016,0.023,0.014,0.023,0.015,0.019,0.016,0.019,0.030,0.032,0.026,0.012,0.010
DMHDS0311,0.027,0.017,0.031,0.020,0.020,0.023,0.022,0.026,0.033,0.025,0.033,0.023,0.037,0.037,0.024,0.023,0.026,0.018,0.016,0.019,0.028,0.031,0.037,0.027,0.032,0.033,0.027,0.039
DMHDS0414,0.030,0.015,0.029,0.017,0.016,0.016,0.024,0.028,0.033,0.028,0.042,0.015,0.060,0.021,0.030,0.016,0.025,0.013,0.024,0.013,0.020,0.020,0.028,0.031,0.037,0.017,0.052,0.029
DMHDS0378,0.030,0.019,0.034,0.017,0.016,0.018,0.021,0.024,0.028,0.027,0.036,0.021,0.016,0.039,0.024,0.017,0.027,0.017,0.019,0.016,0.027,0.031,0.037,0.026,0.044,0.023,0.025,0.046
DMHDS1220,0.025,0.024,0.044,0.018,0.023,0.028,0.024,0.020,0.030,0.031,0.033,0.026,0.026,0.027,0.022,0.021,0.037,0.019,0.020,0.025,0.021,0.029,0.029,0.028,0.036,0.014,0.014,0.027
